ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Тарута Сергій Олексійович,Основа,223,1211,2019-02-04,10,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,"3689863,2",юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1350,2019-02-05,16,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,Зовнішня реклама,3000,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-05,17,"ТОВ ""ЗН ТРК""ТВ-5""",м. Запоріжжя,13630346,ефірний час на телебаченні,46800,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-05,15,"ТОВ ""ЗН ТРК""ТВ-5""",м. Запоріжжя,13630346,ефірний час на телебаченні,78000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1320,2019-02-06,28,"ПрАТ""ММК ім.ІЛЛІЧА""",м. Маріуполь,00191129,Оренда для проведення прес-конференції,"796,45",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1120,2019-02-06,29,"КП ""МТМ""","м. Запоріжжя, вул. Приходська, буд. 60",24905384,Виготовлення відеозапису,2000,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1320,2019-02-06,27,Маріупольська філармонія,м. Маріуполь,42089662,Оренда для проведення прес-конференції,"2572,82",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-06,23,"ТОВ ""ТРК""ТВ-7""",м. Маріуполь,25106350,ефірний час на телебаченні,"3448,8",юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1400,2019-02-06,34,"ТОВ ""ТРО Маріупольське телебачення""",м. Маріуполь,22036458,Розміщення політичної агітації на сайті,3480,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-06,20,"ТОВ ""ТРО Маріупольське телебачення""",м. Маріуполь,22036458,ефірний час на телебаченні,4320,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1212,2019-02-06,24,"ПАТ ""ТРК ""Євростудія""",м. Маріуполь,24161825,ефірний час на радіо,6000,юридична особа,оплата ефірного часу на радіо
Тарута Сергій Олексійович,Основа,223,1211,2019-02-06,26,"ТОВ ""ТРК ""Сигма""",м. Маріуполь,13482897,ефірний час на телебаченні,6000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-06,30,"КП ""МТМ""","м. Запоріжжя, вул. Приходська, буд. 60",24905384,ефірний час на телебаченні,6000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1120,2019-02-06,21,"ТОВ ""ТРО Маріупольське телебачення""",м. Маріуполь,22036458,Виготовлення відеоматеріалів,7200,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1130,2019-02-06,25,"ТОВ ""ТРК ""Сигма""",м. Маріуполь,13482897,Виготовлення аудіовізуальних матеріалів,7400,юридична особа,виготовлення аудіозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-06,22,"ТОВ ""ТРК""ТВ-7""",м. Маріуполь,25106350,Виготовлення відеозапису,10653,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1211,2019-02-06,19,"ТОВ ""ТРО Маріупольське телебачення""",м. Маріуполь,22036458,ефірний час на телебаченні,36000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1120,2019-02-07,44,"ДП ТРК ""СТЕРХ""",м. Дніпро,24434223,Виготовлення відеозапису,500,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-07,43,"ТОВ ""ТРО ""ОРІОН""",м. Запоріжжя,13616197,Виготовлення відеозапису,1200,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-07,41,"ТОВ ТРК ""МТВ-плюс""",м. Запоріжжя,20488378,Виготовлення відеозапису,2220,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1320,2019-02-07,33,"ТОВ ""ІНВЕСТОПТИМ""",м. Одеса,25479446,Оренда для проведення прес-конференції,2250,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1120,2019-02-07,31,"ТОВ ""МедіагрупАлекс ЮА""",м. Запоріжжя,24451003,Виготовлення відеозапису,5000,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,42,"ТОВ ""ТРО ""ОРІОН""",м. Запоріжжя,13616197,ефірний час на телебаченні,5280,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1320,2019-02-07,46,"ТОВ ""Будинок культури ЗАЗ""",м. Запоріжжя,33836536,Оренда для проведення пресконференц,7400,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,40,"ТОВ ТРК ""МТВ-плюс""",м. Запоріжжя,20488378,ефірний час на телебаченні,9072,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,45,"ДП ТРК ""СТЕРХ""",м. Дніпро,24434223,ефірний час на телебаченні,12600,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,32,"ТОВ ""МедіагрупАлекс ЮА""",м. Запоріжжя,24451003,ефірний час на телебаченні,18360,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,39,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,213984,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,38,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,345264,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-07,37,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,"5459332,8",юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1110,2019-02-08,51,"ТОВ ""АЙ-СІ ЕС-АКТИВ""",м. Київ,35393534,Виготовлення виборчих листівок,9000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Тарута Сергій Олексійович,Основа,223,1140,2019-02-08,53,ФОП Ганоцька О.Ю.,м. Київ,,Виготовлення інших матеріалів передвиборчої агітації( магніт),32200,ФОП,виготовлення інших матеріалів передвиборної агітації
Тарута Сергій Олексійович,Основа,223,1211,2019-02-08,55,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14",20264089,ефірний час на телебаченні,54000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1140,2019-02-08,52,"ТОВ ""АЙ-СІ ЕС-АКТИВ""",м. Київ,35393534,"Виготовлення інших матеріалів передвиб. агітації накидка,банер)",55200,юридична особа,виготовлення інших матеріалів передвиборної агітації
Тарута Сергій Олексійович,Основа,223,1110,2019-02-08,56,"ТОВ ""ТД ""РЕ:АГЕНТ""ММГ""",м. Київ,39557839,Виготовлення інформаційного бюлетеня,67200,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Тарута Сергій Олексійович,Основа,223,1110,2019-02-08,57,"ТОВ ""ТД ""РЕ:АГЕНТ""ММГ""",м. Київ,39557839,Виготовлення виборчих листівок,348000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-08,49,"ТОВ ""Новий канал""",м. Київ,23530545,ефірний час на телебаченні,572424,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-08,48,"ТОВ ""Телеканал СТБ""",м. Київ,20044726,ефірний час на телебаченні,1996344,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-08,47,"ТОВ МКТ ""ІСТV""",м. Київ,14323764,ефірний час на телебаченні,3066528,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,58,"КП ""ТБ-Бердянськ""",м. Бердянськ,20509349,ефірний час на телебаченні,"1785,6",юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1120,2019-02-09,71,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,Виготовлення відеозапису,2700,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-09,68,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,Виготовлення відеозапису,3400,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-09,59,"КП ""ТБ-Бердянськ""",м. Бердянськ,20509349,Виготовлення відеозапису,"5702,4",юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-09,66,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,Виготовлення відеозапису,8400,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1140,2019-02-09,65,ФОП Ганоцька О.Ю.,м. Київ,,Виготовлення інших матеріалів передвиборчої агітації (календарик),12000,ФОП,виготовлення інших матеріалів передвиборної агітації
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,69,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,ефірний час на телебаченні,14400,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,70,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,ефірний час на телебаченні,14400,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,67,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,ефірний час на телебаченні,22500,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,62,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,347472,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,61,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,573072,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-09,63,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,1784196,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1320,2019-02-12,72,Управління культ. і тур.Олександрійської міськради,"Кіровоградська обл., м. Олександрія",02215578,Оренда для проведення пресконференц,2418,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1320,2019-09-12,74,Відділ культури ВК Золотоніської міськради,"Черкаська обл., м. Золотоша",22792680,Оренда для проведення прес-конференції,4293,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1220,2019-02-12,75,"ПП ""ІН-ПРО""",м. Запоріжжя,31491446,Друк у газеті,18160,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1340,2019-02-19,93,Відділ освіти Знам’янського виконкому,"Кіровоградська обл., м. Знам’янськ",02143956,Оренда для зустрічі з виборцями,"1003,68",юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,82,"ПП ""Славінфо""",м. Краматорськ,37467314,Друк у газеті,2424,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1120,2019-02-13,81,"ТОВ ""Ценральноукраїнське бюро новин""",м. Кропивницький,41956339,Виготовлення відеозапису,3000,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,79,ФОП Кривошей Н.П.,"Луганська обл., м. Сєвєродонецьк",,Друк у газеті,3285,ФОП,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,95,"ППФ ""Інститут політики""",м. Рівне,32940357,Друк у газеті,5291,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,94,"ППФ ""Інститут політики""",м. Рівне,32940357,Друк у газеті,7545,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,84,"ПП РГ ""Николаевские новости""",м. Миколаїв,23088693,Друк у газеті,8487,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,92,"РГ ""Вечерний Николаев""",м. Миколаїв,20882700,Друк у газеті,8856,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,78,"ТОВ РГ ""Зоря""",м. Дніпро,35497923,Друк у газеті,9930,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,77,"ТОВ РГ ""Зоря""",м. Дніпро,35497923,Друк у газеті,9930,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,90,"ТОВ ""Деснянська правда""",м. Чернігів,36339389,Друк у газеті,10000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1110,2019-02-13,91,"ТОВ ""АЙ-СІ ЕС-АКТИВ""",м. Київ,35393534,Виготовлення виборчих листівок,14000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,78,"ТОВ РГ ""Новий день""",м. Херсон,14122988,Друк у газеті,14400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1211,2019-02-13,80,"ТОВ ""Ценральноукраїнське бюро новин""",м. Кропивницький,41956339,ефірний час на телебаченні,14400,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1220,2019-02-13,83,"ТОВ ""Газета МИГ""",м. Запоріжжя,14298776,Друк у газеті,20000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1320,2019-02-13,89,"Комунальний заклад ""Кіровоградський академічний обласний український музично-драматичний театр ім. М. Л. Кропивницького""","м. Кропивницький, вул. Дворцова, буд. 4",02225476,Оренда приміщення для проведення прес-конференції,"26936,5",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Тарута Сергій Олексійович,Основа,223,1110,2019-02-13,73,"ТОВ ""ПК ""Типографія від А до Я""",м. Київ,37515417,Виготовлення виборчих листівок,"99465,89",юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-13,87,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,7365000,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,112,"ТОВ ""Редакція газети ""Вісті Зміївщини""",м. Харків,02476586,Друк у газеті,2088,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,101,"ТОВ ІЦ ""Репортер""",м. Нікополь,30695679,Друк у газеті,2375,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,102,"КП РГ ""Зоря Приазов’я""",м. Краматорськ,32577529,Друк у газеті,2750,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,111,"ТОВ РГ ""Колос""",м. Черкаси,02476008,Друк у газеті,3332,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,97,"ТОВ ""Обрії 1919""",м. Ізюм,02476600,"Друк у газеті ""Вісті Ізюмщини""",3920,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,106,"ТОВ РГ""Знам’янські вісті""",м. Кропивницький,02473464,Друк у газеті,4000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,96,"Видавничо-поліграфічне підприємство ""Друкарський Дім""","м. Одеса, вул. Картамишевська, буд. 9Д",32323464,"Друк у газеті"" Одесская правда""","4463,9",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,113,"ПП ІА""Центр Медіа""",м. Одеса,33658561,"Друк у газеті "" На пенсії""",4680,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,100,"ПП ІА""Центр Медіа""",м. Одеса,33658561,"Друк у газеті ""Одесская жизнь""",4800,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,108,"ТОВ ""Харків на долонях""",м. Харків,38775714,Друк у газеті,"5103,34",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,105,"ТОВ РГ ""Панорама""",м. Мукачево,02472654,Друк у газеті,5949,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,110,"ТОВ РГ ""Вісті Інформація.Реклама""",м. Бориспіль,36077172,Друк у газеті,6000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,103,"ТОВ РГ ""Вечірня Полтава""",м. Полтава,33660664,Друк у газеті,"7029,96",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,104,"ТОВ РГ ""Житомирщина""",м. Житомир,02472499,Друк у газеті,7200,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,107,"ТОВ ВТ ""РГ Эхо"" Відлуння""",м. Житомир,13568663,Друк у газеті,"8001,6",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,99,"ТОВ ""Редакція газети ""Нова Каховка""","Херсонська обл., м. Нова Каховка, просп. Дніпровський, буд. 23",22752321,"Друк у газеті ""Нова Каховка""",9150,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,98,"ТОВ ІВЦ ""Чернівці""",м. Чернівці,38178688,Друк у газеті,13000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-14,109,"ПАТ ""КП в Україні""",м. Київ,23731640,Друк у газеті,53333,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1400,2019-02-14,114,ФОП Кривошея О.П.,м. Київ,,Розміщення рекламних матеріалів в мережі Інтернет,700000,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Тарута Сергій Олексійович,Основа,223,1220,2019-02-15,117,"ТОВ РГ ""Новини Вознесенська""",м. Вознесенськ,20907469,Друк у газеті,2500,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-15,118,"ТОВ РГ ""ДІАЛОГ""",м. Кропивницький,20652667,Друк у газеті,2570,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-15,116,"ТОВ РГ ""Вінничина""",м. Вінниця,02471614,Друк у газеті,"3671,46",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-15,115,"КП НГП газета МО""Южная правда""",м. Миколаїв,02474239,Друк у газеті,7998,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1211,2019-02-15,124,"ТОВ ""Новий канал""",м. Київ,23530545,ефірний час на телебаченні,428472,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-15,121,"ТОВ ""Телеканал СТБ""",м. Київ,20044726,ефірний час на телебаченні,1517976,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,136,"ПП РГ ""Вісник Первомайська""",м. Миколаїв,32641934,Друк у газеті,2700,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,129,"ПП ""Редакція газети ""Контакт""","Миколаївська обл., м. Южноукраїнськ, бульв. Цвіточний, буд. 9, кімн. 72-84",20872794,Друк у газеті,"2804,44",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,138,"ТОВ РГ ""Приазовская Новь""",м. Запоріжжя,02472795,Друк у газеті,3000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,130,"ТОВ ""КАТЛАЙФ""",м. Краматорськ,31279624,"Друк у газеті ""Технополіс""",3225,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,140,"ТОВ ""Редакція Покровської районної масової газети ""Маяк""","Донецька обл., м. Покровськ",02472236,"Друк у газеті ""Маяк""",3250,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Тарута Сергій Олексійович,Основа,223,1220,2019-02-18,148,"ТОВ РІ ""Агенство БЛІЦ""",м. Біла Церква,33143404,"Друк у газеті ""Наш городок""","4647,94",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
